"","sourceMedium","Sessions","users","transactions","revenuePerTransaction","transactionRevenue","revenuePerUser","transactionsPerSession","goal15Completions"
"65","fashionforward.mako.co.il / referral",11,11,0,0,0,0,0,0
"66","mac_loudnadclearlaunch / sms",11,7,0,0,0,0,0,0
"67","ebusiness / email",10,6,0,0,0,0,0,0
"68","mac_website / instagram",10,8,0,0,0,0,0,0
"69","click.mail.ru / referral",8,2,1,262.5,262.5,131.25,12.5,1
"70","mizrahi-tefahot.co.il / referral",8,3,1,309.82,309.82,103.273333333333,12.5,0
"71","buywith / affiliate",8,5,0,0,0,0,0,0
"72","cse.google.com / referral",8,3,0,0,0,0,0,0
"73","mac_blackfridaynoaig / instagram",8,7,0,0,0,0,0,0
"74","safesearch.top / referral",8,1,0,0,0,0,0,0
"75","confluence.esteeonline.com / referral",7,5,0,0,0,0,0,1
"76","easy.co.il / referral",7,6,0,0,0,0,0,1
"77","mac_aprilsale / email",7,5,0,0,0,0,0,0
"78","mac_brushroll / instagram",7,4,0,0,0,0,0,0
"79","the-funny-bunny.com / referral",7,5,0,0,0,0,0,0
"80","googleapis.com / referral",6,6,0,0,0,0,0,0
"81","yandex.ru / referral",5,5,1,1366,1366,273.2,20,0
"82","google / cpcbrand",5,3,0,0,0,0,0,0
"83","google_search / cpc",5,2,0,0,0,0,0,0
"84","mac_il72 / email",5,5,0,0,0,0,0,0
"85","mac_minigift / email",5,5,0,0,0,0,0,0
"86","shelly-gross.com / referral",5,1,0,0,0,0,0,0
"87","instagram / (not set)",4,3,1,237.75,237.75,79.25,25,0
"88","mac_petalpowerlaunch / email",4,4,1,213.75,213.75,53.4375,25,0
"89","atmag.co.il / referral",4,4,0,0,0,0,0,0
"90","bigcenters.co.il / referral",4,3,0,0,0,0,0,0
"91","e.maccosmetics.emea2.il.cms.elcdev.net / referral",4,1,0,0,0,0,0,0
"92","instagram / social",4,4,0,0,0,0,0,0
"93","n12 / webpush",4,1,0,0,0,0,0,0
"94","ebox.co.il / referral",3,2,2,215.625,431.25,215.625,66.6666666666667,0
"95","mac_elections3 / sms",3,2,2,464,928,464,66.6666666666667,0
"96","1 / phone order",3,1,1,580.5,580.5,580.5,33.3333333333333,0
"97","012mail.net / referral",3,2,0,0,0,0,0,0
"98","app.glassix.com / referral",3,1,0,0,0,0,0,0
"99","facebook / smo",3,3,0,0,0,0,0,0
"100","fb / facebook_desktop_feed",3,3,0,0,0,0,0,0
"101","fb / facebook_right_column",3,3,0,0,0,0,0,0
"102","mac_ brushgift / sms",3,3,0,0,0,0,0,0
"103","mac_glowplayblushlaunch / sms",3,3,0,0,0,0,0,0
"104","mac_hyperrealgift / email",3,3,0,0,0,0,0,0
"105","mac_last2 / email",3,2,0,0,0,0,0,0
"106","uk.search.yahoo.com / referral",3,3,0,0,0,0,0,0
"107","ads.google.com / referral",2,1,0,0,0,0,0,0
"108","affiliate_ig_adel / affiliates",2,2,0,0,0,0,0,0
"109","affiliate_ig_heba / affiliates",2,1,0,0,0,0,0,0
"110","branded / google%20",2,2,0,0,0,0,0,0
"111","corringideon.com / referral",2,1,0,0,0,0,0,0
"112","ecosia.org / organic",2,1,0,0,0,0,0,0
"113","igshopping / social#/shade/m",2,2,0,0,0,0,0,0
"114","lpcdn.lpsnmedia.net / referral",2,2,0,0,0,0,0,0
"115","m.youtube.com / referral",2,2,0,0,0,0,0,0
"116","mac_30offlip / sms",2,2,0,0,0,0,0,0
"117","mac_buywith / buywith",2,1,0,0,0,0,0,0
"118","mac_glowplayblushinfluencers / instagram",2,2,0,0,0,0,0,0
"119","mac_kosher / email",2,1,0,0,0,0,0,0
"120","mac_lipstickdaysms / sms",2,1,0,0,0,0,0,0
"121","mac_liveilner / instagram",2,2,0,0,0,0,0,0
"122","mac_passoverpresents / email",2,2,0,0,0,0,0,0
"123","myofer / affiliate",2,2,0,0,0,0,0,0
"124","saloona.co.il / referral",2,1,0,0,0,0,0,0
"125","sheee.co.il / referral",2,2,0,0,0,0,0,0
"126","shoppingil.co.il / referral",2,2,0,0,0,0,0,0
"127","yaararecommends.com / referral",2,2,0,0,0,0,0,0
"128","(not set) / cpc",1,1,0,0,0,0,0,0
"129","212.76.127.4:81 / referral",1,1,0,0,0,0,0,0
"130","ambassadors / affiliat",1,1,0,0,0,0,0,0
"131","amex / affiliate",1,1,0,0,0,0,0,0
"132","api-mail.walla.co.il / referral",1,1,0,0,0,0,0,0
"133","astramembers / affiliate",1,1,0,0,0,0,0,0
"134","branded / google",1,1,0,0,0,0,0,0
"135","e.maccosmetics.emea2.il.stage.emea.elcdev.net / referral",1,1,0,0,0,0,0,0
"136","epam / email",1,1,0,0,0,0,0,0
"137","fashion-tails.com / referral",1,1,0,0,0,0,0,0
"138","glossberryblog.com / referral",1,1,0,0,0,0,0,0
"139","grandcanyon.co.il / referral",1,1,0,0,0,0,0,0
"140","hapoalim / affiliate",1,1,0,0,0,0,0,0
"141","helenhod / instagram",1,1,0,0,0,0,0,0
"142","iphone.easy.co.il / referral",1,1,0,0,0,0,0,0
"143","israelbusinessguide.com / referral",1,1,0,0,0,0,0,0
"144","israelhayom.co.il / referral",1,1,0,0,0,0,0,0
"145","israeltoday / affiliate",1,1,0,0,0,0,0,0
"146","january_26_1_17 / socialtargeting",1,1,0,0,0,0,0,0
"147","kafe.co.il / referral",1,1,0,0,0,0,0,0
"148","karman.zahav.ru / referral",1,1,0,0,0,0,0,0
"149","kolhazman.co.il / referral",1,1,0,0,0,0,0,0
"150","lavandula.me / referral",1,1,0,0,0,0,0,0
"151","lavasoft.gosearchresults.com / referral",1,1,0,0,0,0,0,0
"152","lawyer / affiliate",1,1,0,0,0,0,0,0
"153","liptensity_nov_2016 / socialtargeting",1,1,0,0,0,0,0,0
"154","m.panet.co.il / referral",1,1,0,0,0,0,0,0
"155","mac_aladdinsms / sms",1,1,0,0,0,0,0,0
"156","mac_blackfriday2sms / sms",1,1,0,0,0,0,0,0
"157","mac_buywithlipstick / buywith",1,1,0,0,0,0,0,0
"158","mac_elections2019 / email",1,1,0,0,0,0,0,0
"159","mac_finalsalereminder / sms",1,1,0,0,0,0,0,0
"160","mac_fixnoa / instagram",1,1,0,0,0,0,0,0
"161","mac_flashsalebrush2 / instagram",1,1,0,0,0,0,0,0
"162","mac_gifts / sms",1,1,0,0,0,0,0,0
"163","mac_glowplayblushlaunch / email",1,1,0,0,0,0,0,0
"164","mac_hyperrealgift / instagram",1,1,0,0,0,0,0,0
"165","mac_il72 / facebook",1,1,0,0,0,0,0,0
"166","mac_livechevimascara / instagram",1,1,0,0,0,0,0,0
"167","mac_makeupstick / sms",1,1,0,0,0,0,0,0
"168","mac_nettalive / instagram",1,1,0,0,0,0,0,0
"169","mac_noakir5-4 / instagram",1,1,0,0,0,0,0,0
"170","mac_petalemail2 / email",1,1,0,0,0,0,0,0
"171","mac_taxfree / sms",1,1,0,0,0,0,0,0
"172","mac_website2 / instagram",1,1,0,0,0,0,0,0
"173","mac_wintersaleholiday / sms",1,1,0,0,0,0,0,0
"174","mac_wintersalemail / sms",1,1,0,0,0,0,0,0
"175","mac-noakirelmail / email",1,1,0,0,0,0,0,0
"176","makemeup.co.il / referral",1,1,0,0,0,0,0,0
"177","mako.co.il / referral",1,1,0,0,0,0,0,0
"178","masksoffmaskson.blogspot.com / referral",1,1,0,0,0,0,0,0
"179","newmakeups-com.cdn.ampproject.org / referral",1,1,0,0,0,0,0,0
"180","ran / affiliate",1,1,0,0,0,0,0,0
"181","retro / socialtargeting",1,1,0,0,0,0,0,0
"182","search.becovi.com / referral",1,1,0,0,0,0,0,0
"183","side_ad / facebook",1,1,0,0,0,0,0,0
"184","socailfb / affiliation",1,1,0,0,0,0,0,0
"185","spotit.co.il / referral",1,1,0,0,0,0,0,0
"186","stylissima.co.il / referral",1,1,0,0,0,0,0,0
"187","tahonia / instagram",1,1,0,0,0,0,0,0
"188","terminalx.com / referral",1,1,0,0,0,0,0,0
"189","timeout / affiliate",1,1,0,0,0,0,0,0
"190","web.whatsapp.com / referral",1,1,0,0,0,0,0,0
